row_index,zero_proportion,zero_count,total_count
1072,0.254071661237785,78,307
1073,0,0,307
1074,0,0,307
1075,0,0,307
1076,0.24104234527687296,74,307
1077,0.13680781758957655,42,307
1078,0,0,307
1079,0.31596091205211724,97,307
1080,0,0,307
1081,0,0,307
1082,0,0,307
1083,0.5863192182410424,180,307
1084,0.9674267100977199,297,307
1085,0.019543973941368076,6,307
1086,0,0,307
1087,0,0,307
1088,0.752442996742671,231,307
1089,0,0,307
1090,0.9315960912052117,286,307
1091,0.7850162866449512,241,307
1092,0,0,307
1093,0.003257328990228013,1,307
1094,0,0,307
1095,0.511400651465798,157,307
1096,0.6254071661237784,192,307
1097,0,0,307
1098,0,0,307
1099,0,0,307
1100,0,0,307
1101,0,0,307
1102,0,0,307
1103,0,0,307
1104,0.34201954397394135,105,307
1105,0,0,307
1106,0.7817589576547231,240,307
1107,0.7003257328990228,215,307
1108,0,0,307
1109,0,0,307
1110,0.009771986970684038,3,307
1111,0.003257328990228013,1,307
1112,0.08143322475570032,25,307
1113,0,0,307
1114,0,0,307
1115,0.04560260586319218,14,307
1116,0,0,307
1117,0,0,307
1118,0.5830618892508144,179,307
1119,0,0,307
1120,0,0,307
1121,0,0,307
1122,0.24429967426710097,75,307
1123,0.3778501628664495,116,307
1124,0.06188925081433225,19,307
1125,0,0,307
1126,0,0,307
1127,0,0,307
1128,0,0,307
1129,0,0,307
1130,0,0,307
1131,0,0,307
1132,0,0,307
1133,0,0,307
1134,0,0,307
1135,0.03908794788273615,12,307
1136,0.006514657980456026,2,307
1137,0,0,307
1138,0,0,307
1139,0,0,307
1140,0.06188925081433225,19,307
1141,0.8990228013029316,276,307
1142,0,0,307
1143,0,0,307
1144,0,0,307
1145,0,0,307
1146,0,0,307
1147,0,0,307
1148,0,0,307
1149,0.31921824104234525,98,307
1150,0,0,307
1151,0,0,307
1152,0,0,307
1153,0,0,307
1154,0,0,307
1155,0,0,307
1156,0,0,307
1157,0,0,307
1158,0,0,307
1159,0,0,307
1160,0,0,307
1161,0,0,307
1162,0,0,307
1163,0,0,307
1164,0,0,307
1165,0,0,307
1166,0,0,307
1167,0,0,307
1168,0,0,307
1169,0,0,307
1170,0,0,307
1171,0,0,307
1172,0,0,307
1173,0,0,307
1174,0,0,307
1175,0,0,307
1176,0,0,307
1177,0,0,307
1178,0,0,307
1179,0,0,307
1180,0,0,307
1181,0,0,307
1182,0,0,307
1183,0,0,307
1184,0.9250814332247557,284,307
1185,0.02280130293159609,7,307
1186,0,0,307
1187,0,0,307
1188,0,0,307
1189,0.006514657980456026,2,307
1190,0,0,307
1191,0,0,307
1192,0,0,307
1193,0,0,307
1194,0.18566775244299674,57,307
1195,0,0,307
1196,0,0,307
1197,0,0,307
1198,0.09120521172638436,28,307
1199,0.5472312703583062,168,307
1200,0,0,307
1201,0.013029315960912053,4,307
1202,0.016286644951140065,5,307
1203,0.5472312703583062,168,307
1204,0,0,307
1205,0,0,307
1206,0,0,307
1207,0.8241042345276873,253,307
1208,0,0,307
1209,0,0,307
1210,0,0,307
1211,0,0,307
1212,0,0,307
1213,0.04234527687296417,13,307
1214,0,0,307
1215,0,0,307
1216,0,0,307
1217,0.2931596091205212,90,307
1218,0.25732899022801303,79,307
1219,0,0,307
1220,0,0,307
1221,0,0,307
1222,0,0,307
1223,0,0,307
1224,0,0,307
1225,0,0,307
1226,0,0,307
1227,0,0,307
1228,0,0,307
1229,0,0,307
1230,0,0,307
1231,0,0,307
1232,0,0,307
1233,0.3778501628664495,116,307
1234,0,0,307
1235,0,0,307
1236,0,0,307
1237,0,0,307
1238,0,0,307
1239,0,0,307
1240,0,0,307
1241,0,0,307
1242,0,0,307
1243,0.08794788273615635,27,307
1244,0,0,307
1245,0,0,307
1246,0,0,307
1247,0.03908794788273615,12,307
1248,0,0,307
1249,0,0,307
1250,0,0,307
1251,0,0,307
1252,0,0,307
1253,0,0,307
1254,0,0,307
1255,0,0,307
1256,0,0,307
1257,0,0,307
1258,0,0,307
1259,0,0,307
1260,0,0,307
1261,0.8403908794788274,258,307
1262,0,0,307
1263,0,0,307
1264,0,0,307
1265,0,0,307
1266,0.026058631921824105,8,307
1267,0,0,307
1268,0,0,307
1269,0.003257328990228013,1,307
1270,0,0,307
1271,0.06840390879478828,21,307
1272,0,0,307
1273,0,0,307
1274,0,0,307
1275,0,0,307
1276,0,0,307
1277,0,0,307
1278,0,0,307
1279,0.03257328990228013,10,307
1280,0,0,307
1281,0,0,307
1282,0,0,307
1283,0,0,307
1284,0,0,307
1285,0,0,307
1286,0,0,307
1287,0,0,307
1288,0.990228013029316,304,307
1289,0,0,307
1290,0,0,307
1291,0,0,307
1292,0,0,307
1293,0,0,307
1294,0,0,307
1295,0.8729641693811075,268,307
1296,0,0,307
1297,0,0,307
1298,0,0,307
1299,0,0,307
1300,0,0,307
1301,0,0,307
1302,0.009771986970684038,3,307
1303,0,0,307
1304,0,0,307
