gene,log2FC,pval,mean_high,mean_low,padj
KIAA0494,0.3416750640138755,5.696987904617884e-06,11.988635528449665,11.64696046443579,0.00013847766404688911
MSX2P1,-0.3416296633667355,0.008042045324797145,0.8176694723994717,1.1592991357662072,0.029130723970423697
PPP1R3F,0.34155386365009655,0.005327177873474253,7.1478961548550375,6.806342291204941,0.021402839664777008
PSMC3IP,-0.3412764809232032,0.0005148897126475595,6.000096857344088,6.341373338267291,0.003711462242491217
SREBF2,0.3412173717043778,0.0001030672410958507,11.53341949018353,11.192202118479152,0.0011193451341020351
LOC100129534,0.34121611377760974,0.013266332863463794,6.007852009779608,5.666635896001998,0.04232737783772649
CENPO,-0.34108224939849663,0.0009276122767904914,7.322907453164841,7.663989702563337,0.005783651276635751
LY6G6D,-0.34098659342817916,0.00385550790917508,0.5668880339698342,0.9078746273980134,0.01675695344120783
TNFSF12,0.340890798347516,0.001533601517641159,8.48722759145459,8.146336793107073,0.008494629682820887
STRAP,-0.34078908824710474,2.0081627963170385e-07,11.015183888850395,11.3559729770975,1.2438837348359643e-05
CRYZ,0.34078737216700183,6.486949078791097e-05,9.555497772789328,9.214710400622327,0.0007959362452344568
PDCD2L,-0.34077552380148646,0.0001431764772836827,8.065324733007987,8.406100256809474,0.0014280283517194847
SMNDC1,-0.3406954811027507,1.587173303513487e-11,9.357989383498325,9.698684864601075,1.5005470553164612e-08
ADSL,-0.3403142448742251,3.647526810239271e-06,9.75535376760558,10.095668012479805,9.942416402477697e-05
DBH,0.34028597572349395,0.007724267241246644,2.2563102047566046,1.9160242290331106,0.028287668186445153
VTA1,-0.3401577866030312,1.1327000393426437e-06,10.062952297582266,10.403110084185297,4.2925508031037784e-05
DGKI,0.3399927797863791,0.007481561295413265,1.824900767648635,1.484907987862256,0.02759008120499045
RPS8,-0.3397490913711909,0.0005959206111580224,14.602980821974931,14.942729913346122,0.004152258315838462
CBWD1,0.3397240556156671,0.0019342065392930056,9.026261543669998,8.68653748805433,0.01008462843882808
NAB2,-0.33968684959394047,1.198578696329401e-05,10.412406833475366,10.752093683069306,0.00023581674832601345
SBNO2,0.3391458422396667,6.438065836479e-05,11.135426828369509,10.796280986129842,0.0007931891400594807
LRRC8E,0.33903657575557755,0.0002693449584588521,8.006284621566449,7.667248045810871,0.0022672181297077603
E2F6,-0.33899107077830415,3.616087601024359e-06,8.359824700403285,8.69881577118159,9.916913217893216e-05
AKAP11,0.3388983123182143,3.663022782103591e-07,9.6546192405613,9.315720928243085,1.8799679495693372e-05
FAM32A,-0.33857506597217224,9.995528042237041e-06,10.795376015239748,11.13395108121192,0.00020877868630546974
KIAA1468,0.3385719763935491,1.8749344259988175e-05,8.948591512357646,8.610019535964097,0.0003289008505294605
GPR89A,-0.33851655610716946,6.359844415408867e-07,9.172340545276372,9.510857101383541,2.84892481880273e-05
RASGRP3,0.3385129931352422,0.0025468304638712846,6.825031100001669,6.486518106866427,0.012331190194749295
CDKN1A,0.33844022160426945,0.0043819175430246824,10.042411735083256,9.703971513478987,0.01847274931362412
TMEM14B,-0.3383996237639444,0.0006752981943262025,10.121424629044041,10.459824252807985,0.004555156389290866
POLR2J,-0.33827446367049774,4.563263181014932e-06,10.471555447998991,10.809829911669489,0.00011709985217224459
NUBP2,-0.33814782939851007,0.00010081112331000822,9.80020129063352,10.13834912003203,0.0011015025596214584
